company_name,brand,address,state,expiry_date
A&W GIANT SEKSYEN 13 SHAH ALAM,,"(A&W MALAYSIA SDN BHD), A09, A10 & A10A, LOT 2, PERSIARAN SUKAN, SEKSYEN 13,, GIANT HYPERMARKET, 40100, Petaling, Selangor",SELANGOR,29/02/2028
A&W HERO MALL,,"(A&W MALAYSIA SDN BHD), G-15 HERO MARKET,, Jalan Puteri 1/6, Bandar Puteri, Puchong, 47100, Petaling, Selangor, A&W",SELANGOR,31/10/2026
A&W IOI PUCHONG,,"(A&W MALAYSIA SDN BHD), EF13 - EF13A & EF13AA, FIRST FLOOR, IOI MALL BANDAR PUCHONG JAYA, PUCHONG, 47170, Petaling, Selangor, A&W",SELANGOR,31/03/2027
A&W KAJANG AVENUE,,"(A&W MALAYSIA SDN BHD), A-0-9, MKH AVENUE, JALAN AVENUE 1A, OFF JALAN SEMENYIH, 43000, Hulu Langat, Selangor, A&W",SELANGOR,31/05/2027
A&W KLIA 2,,"(A&W MALAYSIA SDN BHD), S6-3-A04, LEVEL 3, International Departure Level (Airside), Jalan KLIA 2/1, KL International Airport 2, KLIA 2, 64000, Sepang, Selangor",SELANGOR,30/04/2028
A&W KOTA KEMUNING,,"(A&W MALAYSIA SDN BHD), NO 39-1 & 41-1, JALAN ANGGERIK VANILLA BE31/BE,, KOTA KEMUNING, SEKSYEN 31,, 40460, Petaling, Selangor, A&W",SELANGOR,31/05/2027
BASK BEAR COFFEE AMBANK BANDAR BARU BANGI,,"(BB COFFEE SDN BHD), NO 43A-5-01, JALAN MEDAN PB 2B,, SEKSYEN 9, PUSAT BANDAR BARU BANGI,, 43650, Hulu Langat, Selangor, BASK BEAR COFFEE",SELANGOR,30/11/2027
BASK BEAR COFFEE AMBANK BANTING,,"(BB COFFEE SDN BHD), NO. 141-GF, JALAN SULTAN ABDUL SAMAD, BANDAR BANTING, 42700, Kuala Langat, Selangor, BASK BEAR COFFEE",SELANGOR,30/11/2026
BASK BEAR COFFEE AMBANK PJ NEW TOWN,,"(BB COFFEE SDN BHD), 6, JALAN 52/4 PETALING JAYA, 46200,  Tiada Maklumat Daerah, Selangor, BASK BEAR COFFEE",SELANGOR,30/11/2026
BASK BEAR COFFEE AMBANK RAWANG COUNTRY HOMES,,"(BB COFFEE SDN BHD), GF, NO. 51, JALAN PUSAT BCH 1A,, BANDAR COUNTRY HOMES,, 48000, Gombak, Selangor",SELANGOR,15/06/2027
BASK BEAR COFFEE AMBANK SG BULOH,,"(BB COFFEE SDN BHD), NO. 389, JALAN 1A/1, FASA 1A, BANDAR BARU SG. BULOH,, SEKSYEN U20, 40160, Petaling, Selangor",SELANGOR,31/05/2028
BASK BEAR COFFEE AMPANG POINT,,"(BB COFFEE SDN BHD), LOT G05B, GROUND FLOOR AMPANG POINT SHOPPING CENTRE,, AMPANG POINT, 68000, Hulu Langat, Selangor",SELANGOR,31/03/2028
"BASK BEAR COFFEE BANDAR BARU SELAYANG, SELANGOR",,"(BB COFFEE SDN BHD), NO. 4 (GROUND FLOOR), JALAN 2/16,, BANDAR BARU SELAYANG,, 68100, Hulu Langat, Selangor",SELANGOR,31/07/2027
"BASK BEAR COFFEE BANDAR BOTANIK, KLANG",,"(BB COFFEE SDN BHD), NO.4, TINGKAT BAWAH, JALAN KASUARINA 01/KS07,, BANDAR BOTANIK,, 41200, Klang, Selangor, BASK BEAR COFFEE",SELANGOR,30/11/2027
BASK BEAR COFFEE BANDAR SERI PUTRA,,"(BB COFFEE SDN BHD), NO. 37 (GROUND FLOOR), JALAN SERI PUTRA 1/8,, BANDAR SERI PUTRA,, 43000, Hulu Langat, Selangor, BASK BEAR COFFEE",SELANGOR,30/11/2027
BASK BEAR COFFEE BANDAR TASIK PUTERI RAWANG,,"(BB COFFEE SDN BHD), NO. 46-G-A & B (GROUND FLOOR), JALAN 7A/2, BANDAR TASIK PUTERI, 48020, Gombak, Selangor",SELANGOR,31/03/2028
BASK BEAR COFFEE BANDAR TUN HUSSEIN ONN,,"(BB COFFEE SDN BHD), NO 26A (GF), JALAN SUARASA 8/4,, TOWN PARK 1, LAKE VALLEY, BANDAR TUN HUSSEIN ONN,, 43200, Hulu Langat, Selangor",SELANGOR,15/01/2028
BASK BEAR COFFEE BUKIT SENTOSA,,"(BB COFFEE SDN BHD), NO.13 GF, JALAN ORKID 1G/1,, PERNIAGAAN JALAN ORKID,, 48300, Hulu Selangor, Selangor, BASK BEAR COFFEE",SELANGOR,30/11/2027
"BASK BEAR COFFEE CALTEX DT MERU, KLANG",,"(BB COFFEE SDN BHD), CALTEX PERSIARAN HAMZAH, PT 65056 JALAN KORPORAT/KU9, TAMAN PERINDUSTRIAN MERU,, 42200, Klang, Selangor",SELANGOR,15/06/2027
"BASK BEAR COFFEE CYBER VALLEY COMMERCIAL CENTRE, DENGKIL",,"(BB COFFEE SDN BHD), NO.7, GROUND FLOOR, JALAN CYBER VALLEY 1A/1,, CYBER VALLEY COMMERCIAL CENTRE,, 43800, Sepang, Selangor, BASK BEAR COFFEE",SELANGOR,30/11/2027
BASK BEAR COFFEE DAMANSARA DAMAI,,"(BB COFFEE SDN BHD), NO.Q-007 (GROUND FLOOR), JALAN PJU 10/2B,, DAMANSARA DAMAI,, 47830, Petaling, Selangor, BASK BEAR COFFEE",SELANGOR,30/11/2027
BASK BEAR COFFEE DENAI ALAM,,"(BB COFFEE SDN BHD), NO. 41-1, TINGKAT BAWAH, JALAN ELEKTRON D U16/D,, DENAI ALAM, SEKSYEN U16,, 40160, Petaling, Selangor, BASK BEAR COFFEE",SELANGOR,30/11/2027
"BASK BEAR COFFEE ECOHILL WALK, SEMENYIH",,"(BB COFFEE SDN BHD), HO7-L1, BLOK H, PUSAT KOMERSIAL DATARAN ECOHILL,, JALAN ECOHILL 1/2, SETIA ECOHILL,, 43500, Hulu Langat, Selangor",SELANGOR,31/07/2027
"BASK BEAR COFFEE JALAN TELUK PULAI, KLANG",,"(BB COFFEE SDN BHD), BGB BOOST SDN BHD, NO. 131, JALAN TELUK PULAI,, 41100, Klang, Selangor, BASK BEAR COFFEE",SELANGOR,30/11/2027
BASK BEAR COFFEE KIP MALL KOTA WARISAN,,"(BB COFFEE SDN BHD), LOT G05, KIP MALL KOTA WARISAN, JALAN WARISAN SENTRAL 3, KIP SENTRAL,, 43900, Sepang, Selangor",SELANGOR,31/07/2027
BASK BEAR COFFEE KOTA KEMUNING,,"(BB COFFEE SDN BHD), 2-41-3, NO. 14, PERSIARAN ANGGERIK VANILLA,, KOTA KEMUNING, SEKSYEN 31,, 40460, Petaling, Selangor",SELANGOR,31/07/2027
BOAT NOODLE IOI MALL PUCHONG,,"(BOAT NOODLE SDN BHD), NO FS35 & FS36, FIRST FLOOR, IOI MALL, BATU 9, JALAN BANDAR, BANDAR PUCHONG JAYA,, 47170, Petaling, Selangor, BOAT NOODLE",SELANGOR,15/11/2026
BOAT NOODLE IPC,,"(BOAT NOODLE SDN BHD), LG1.12, IPC SHOPPING CENTRE, NO. 2, JALAN PJU 7/2, MUTIARA DAMANSARA, 47800, Petaling, Selangor, BOAT NOODLE",SELANGOR,30/09/2027
BOAT NOODLE ONE UTAMA,,"(BOAT NOODLE SDN BHD), LOT LG 321, LGF, 1 UTAMA SHOPPING CTR 1,, LEBUH BANDAR UTAMA, BANDAR UTAMA, 47800, Petaling, Selangor, BOAT NOODLE",SELANGOR,30/11/2026
BOAT NOODLE SUNWAY PYRAMID,,"(BOAT NOODLE SDN BHD), LOT F1.79, 1ST FLOOR, SUNWAY PYRAMID, NO. 3 JLN PJS 11/15, BANDAR SUNWAY, 47500, Petaling, Selangor, BOAT NOODLE",SELANGOR,30/09/2027
BOAT NOODLE TAMARIND SQUARE,,"(BOAT NOODLE SDN BHD), TRI GOLDEN GOURMET SDN. BHD., D3-03-18, TAMARIND SQUARE,, PERSIARAN MULTI MEDIA CYBER 10,, 63000, Sepang, Selangor, BOAT NOODLE",SELANGOR,15/05/2027
BORENOS FRIED CHICKEN (BANDAR BARU BANGI),,"(BORENOS SDN BHD), NO.13, JALAN MEDAN PUSAT 2D, 43650, Hulu Langat, Selangor, BORENOS FRIED CHICKEN (BANDAR BARU BANGI)",SELANGOR,31/05/2028
"BORENOS FRIED CHICKEN (IOI BOULEVARD, PUCHONG)",,"(BORENOS SDN BHD), E-G-27, IOI BOULEVARD, JALAN KENARI 5, BANDAR PUCHONG JAYA, 47170, Klang, Selangor, BORENOS FRIED CHICKEN",SELANGOR,15/11/2027
COLD KITCHEN,,"(BOUSTEAD HOTELS & RESORT SDN BHD (ROYALE CHULAN THE CURVE)), 6, JALAN PJU 7/3, MUTIARA DAMANSARA, 47800, Petaling, Selangor, ROYALE CHULAN THE CURVE",SELANGOR,31/01/2027
MALAY KITCHEN,,"(BOUSTEAD HOTELS & RESORT SDN BHD (ROYALE CHULAN THE CURVE)), 6, JALAN PJU 7/3, MUTIARA DAMANSARA, 47800, Petaling, Selangor, ROYALE CHULAN THE CURVE",SELANGOR,31/01/2027
WESTERN KITCHEN & WINDOW RESTAURANT,,"(BOUSTEAD HOTELS & RESORT SDN BHD (ROYALE CHULAN THE CURVE)), 6, JALAN PJU 7/3, MUTIARA DAMANSARA, 47800, Petaling, Selangor, ROYALE CHULAN THE CURVE",SELANGOR,31/01/2027
BANQUET KITCHEN,,"(BOUSTEAD HOTELS & RESORT SDN. BHD. (ROYALE CHULAN DAMANSARA)), GROUND FLOOR, ROYALE CHULAN DAMANSARA, No.2, Jalan PJU 7/3, Mutiara Damansara, 47810, Petaling, Selangor, ROYALE CHULAN DAMANSARA",SELANGOR,15/12/2027
BUTCHERY KITCHEN,,"(BOUSTEAD HOTELS & RESORT SDN. BHD. (ROYALE CHULAN DAMANSARA)), GROUND FLOOR, ROYALE CHULAN DAMANSARA, No.2, Jalan PJU 7/3, Mutiara Damansara, 47800, Petaling, Selangor, ROYALE CHULAN DAMANSARA",SELANGOR,15/12/2027
COFFEE HOUSE KITCHEN & ROYALE COFFEE HOUSE RESTAURANT,,"(BOUSTEAD HOTELS & RESORT SDN. BHD. (ROYALE CHULAN DAMANSARA)), 1ST FLOOR, ROYALE CHULAN DAMANSARA,, No.2, Jalan PJU 7/3, Mutiara Damansara, 47810, Petaling, Selangor, ROYALE CHULAN DAMANSARA",SELANGOR,15/12/2027
COLD KITCHEN / GARDE MANGER,,"(BOUSTEAD HOTELS & RESORT SDN. BHD. (ROYALE CHULAN DAMANSARA)), GROUND FLOOR, ROYALE CHULAN DAMANSARA, No.2, Jalan PJU 7/3, Mutiara Damansara, 47810, Petaling, Selangor, ROYALE CHULAN DAMANSARA",SELANGOR,15/12/2027
PASTRY/ BAKERY KITCHEN,,"(BOUSTEAD HOTELS & RESORT SDN. BHD. (ROYALE CHULAN DAMANSARA)), 1ST FLOOR, ROYALE CHULAN DAMANSARA, No.2, Jalan PJU 7/3, Mutiara Damansara, 47810, Petaling, Selangor, ROYALE CHULAN DAMANSARA",SELANGOR,15/12/2027
BRAHIM'S FOOD SERVICES SDN BHD,,"(BRAHIM'S FOOD SERVICES SDN BHD), CATERING BUILDING  MAS COMPLEX,, South Support Zone, Kuala Lumpur International Airport,, 64000, Sepang, Selangor, BRAHIM'S FOOD SERVICES SDN BHD",SELANGOR,15/12/2027
BREAD BERRY BAKERY,,"(BREAD BERRY BAKERY SDN BHD), NO 7, JALAN TIARA 2C/KU 1,, PUSAT PERNIAGAAN BANDAR  BARU KLANG, 41150, Klang, Selangor",SELANGOR,15/01/2027
BREAD BUDDY PLT,,"(BREAD BUDDY PLT), 118-G JALAN PUJ 3/2, TAMAN PUNCAK JALIL, SERI KEMBANGAN, 43300, Petaling, Selangor",SELANGOR,31/01/2028
BREW HYPE,,"(BREW HYPE SP SDN. BHD.), NO.36G, JALAN 20/16A TAMAN PARAMOUNT, 46300, Petaling, Selangor, BREW HYPE",SELANGOR,15/12/2027
11 WALLACE BURGER & CHICKEN (THE MINES SHOPPING MALL),,"(BRILLIANT TREASURE (M) SDN. BHD.), L2-76A/L2-76A(ORA), THE MINES SHOPPING MALL,, JALAN DULANG, THE MINES RESORT CITY,, 43300, Petaling, Selangor, WALLACE BURGER & CHICKEN",SELANGOR,31/05/2028
BURGER KING RANTAU PANJANG,,"(COSMO RESTAURANTS SDN BHD), NO.5557 GROUND FLOOR,, JALAN RANTAU PANJANG / KU4,, 41200, Klang, Selangor, BURGER KING",SELANGOR,15/04/2027
BURGER KING SERI GOMBAK,,"(COSMO RESTAURANTS SDN BHD), NO. 6 (GROUND FLOOR), JALAN SG 1/5,, Taman Industri Bolton,, 68100, Gombak, Selangor, BURGER KING",SELANGOR,30/09/2027
BURGER KING SETIA ALAM,,"(COSMO RESTAURANTS SDN BHD), RESTORAN NO.1 LOT NO.2, PERSIARAN SETIA IMPIAN,, Bandar Setia Alam Seksyen U13,, Shah Alam,, 40170, Klang, Selangor",SELANGOR,30/06/2027
BURGER KING SETIA CITY MALL,,"(COSMO RESTAURANTS SDN BHD), LOT LG-129 & 130, TINGKAT LG, SETIA CITY MALL,, NO.7, PERSIARAN SETIA DAGANG,, SETIA ALAM, SEKSYEN U13,, 40170, Petaling, Selangor, BURGER KING",SELANGOR,15/01/2027
BURGER KING SHELL PERSIARAN SUNGAI BULOH,,"(COSMO RESTAURANTS SDN BHD), SHELL PERSIARAN SG. BULOH,, NO.1, PERSIARAN SG. BULOH,, 47000, Petaling, Selangor, BURGER KING",SELANGOR,30/04/2028
BURGER KING SHELL PUNCAK ALAM,,"(COSMO RESTAURANTS SDN BHD), NO. 2 (PT 42140),, Jalan Eco Grandeur 1/9,, Eco Grandeur,, 42300, Kuala Selangor, Selangor, BURGER KING",SELANGOR,31/07/2027
BURGER KING SRI MANJA,,"(COSMO RESTAURANTS SDN BHD), NO 51A-G, JALAN PJS 3/46,, TAMAN SRI MANJA, 46000, Petaling, Selangor, BURGER KING",SELANGOR,30/11/2027
BURGER KING SS12,,"(COSMO RESTAURANTS SDN BHD), 4 & 4A, JALAN SS 12/1B, SS 12, 47500 SUBANG JAYA SELANGOR, 47500, Petaling, Selangor, BURGER KING",SELANGOR,15/08/2027
BURGER KING SUBANG SKYPARK,,"(COSMO RESTAURANTS SDN BHD), LOT G32B (GROUND FLOOR), SKYPARK TERMINAL,, SULTAN ABDUL AZIZ SHAH AIRPORT,, SEKSYEN U3,, 47200, Petaling, Selangor, BURGER KING",SELANGOR,15/01/2027
BURGER KING SUNGAI BULOH OVERHEAD BRIDGE,,"(COSMO RESTAURANTS SDN BHD), LOT R 2 OVERHEAD BRIDGE RESTAURANT,, KM 458 Nort South Highway, Between Sg Buloh and Bukit Lanjan Interchange, 47000, Petaling, Selangor",SELANGOR,30/06/2027
BURGER KING SUNGAI LONG,,"(COSMO RESTAURANTS SDN BHD), NO 2 ( GF), JALAN SL 1/2, BANDAR SUNGAI LONG, 43000, Hulu Selangor, Selangor, BURGER KING",SELANGOR,30/11/2027
BURGER KING SUNWAY GEO AVENUE,,"(COSMO RESTAURANTS SDN BHD), E-01-11, SUNWAY GEO AVENUE,, Block E, Jln Lagoon Selatan,, Bandar Sunway,, 47500, Petaling, Selangor, BURGER KING",SELANGOR,15/08/2026
BURGER KING SUNWAY LAGOON,,"(COSMO RESTAURANTS SDN BHD), LOT NO.SB-R001 & SB R002, SUNWAY LAGOON THEME PARK,, Jalan PJS 11/11, Bandar Sunway,, 46150, Petaling, Selangor",SELANGOR,31/05/2027
BURGER KING SUNWAY MENTARI,,"(COSMO RESTAURANTS SDN BHD), NO.1 (GF), JALAN PJS 8/5,, PJ Selatan,, Petaling Jaya, 46000, Petaling, Selangor, BURGER KING",SELANGOR,15/08/2026
BURGER KING SUNWAY PYRAMID,,"(COSMO RESTAURANTS SDN BHD), UNIT NO. F1.87A & F1.90, FIRST FLOOR SUNWAY PYRAMID SHOPPING MALL,, 3, Jalan PJS 11/15 Bandar Sunway,, 47500, Petaling, Selangor",SELANGOR,30/06/2027
BURGER KING TAMAN SRI ANDALAS,,"(COSMO RESTAURANTS SDN BHD), NO 42, GROUND FLOUR JALAN SRI SARAWAK 18, TAMAN SRI ANDALAS, 41200, Klang, Selangor",SELANGOR,15/06/2027
BURGER KING TAMARIND SQUARE,,"(COSMO RESTAURANTS SDN BHD), NO. D3-03-07, TAMARIND SQUARE,, Persiaran Multimedia, Cyber 11,, 63000, Sepang, Selangor, BURGER KING",SELANGOR,30/09/2027
BURGER KING TESCO BANDAR BUKIT PUCHONG,,"(COSMO RESTAURANTS SDN BHD), LOT NO.G7, TESCO BANDAR BUKIT PUCHONG, PT 80259,, Jalan BP 7/1 Bandar Bukit Puchong, Mukim Petaling, 47100, Petaling, Selangor",SELANGOR,31/05/2027
BURGER KING TROPICANA AVENUE,,"(COSMO RESTAURANTS SDN BHD), P-G-30, TROPICANA AVENUE,, PERSIARAN TROPICANA,, TROPICANA GOLF & COUNTRY RESORT,, 47410, Petaling, Selangor",SELANGOR,15/06/2027
BURGER KING TROPICANA GARDEN,,"(COSMO RESTAURANTS SDN BHD), LOT NO. CC-35, CONCOURSE FLOOR,, Tropicana Garden Mall, Jalan PJU 3/21,, Tropicana Indah,, 47410, Petaling, Selangor",SELANGOR,15/10/2026
EMPIRE SUSHI AEON TAMAN EQUINE,,"(EMPIRE SUSHI SDN. BHD.), LG21, LG FLOOR, AEON TAMAN EQUINE SHOPPING CENTRE,, JALAN EQUINE, TAMAN EQUINE, BANDAR PUTERI PERMAI,, 43300, Petaling, Selangor, EMPIRE SUSHI",SELANGOR,31/07/2026
EMPIRE SUSHI AEON TAMAN EQUINE,,"(EMPIRE SUSHI SDN. BHD.), LG21, LG FLOOR, AEON TAMAN EQUINE SHOPPING CENTRE,, JALAN EQUINE, TAMAN EQUINE, 43300, Petaling, Selangor, EMPIRE SUSHI",SELANGOR,31/07/2028
EMPIRE SUSHI CENTRAL I-CITY,,"(EMPIRE SUSHI SDN. BHD.), NO. LG-K01A, TINGKAT LG, PUSAT MEMBELI BELAH SENTRAL I-CITY,, NO.1, PERSIARAN MULTIMEDIA I-CITY, SEKSYEN 7,, 40000, Petaling, Selangor, EMPIRE SUSHI",SELANGOR,31/08/2027
EMPIRE SUSHI DPULZE,,"(EMPIRE SUSHI SDN. BHD.), LOT LGK-03, LOWER GROUND FLOOR DPULZE, LINGKARAN CYBER POINT TIMUR, CYBER 12, 63000, Sepang, Selangor, EMPIRE SUSHI",SELANGOR,15/02/2027
EMPIRE SUSHI EMPIRE SHOPPING GALLERY,,"(EMPIRE SUSHI SDN. BHD.), LG-29A, LOWER GROUND LEVEL,, EMPIRE SHOPPING GALLERY,, JALAN SS16, UEP, 47500, Petaling, Selangor, EMPIRE SUSHI",SELANGOR,15/10/2026
EMPIRE SUSHI GATEWAY @KLIA2,,"(EMPIRE SUSHI SDN. BHD.), LOT NO. L2-109,, LEVEL 2, GATEWAY @KLIA2, KL INTERNATIONAL AIRPORT, JALAN KLIA 2/1, KLIA, 64000, Sepang, Selangor, EMPIRE SUSHI",SELANGOR,15/06/2026
EMPIRE SUSHI GATEWAY @KLIA2,,"(EMPIRE SUSHI SDN. BHD.), NO. L2-109, LEVEL 2 GATEWAY @KLIA2, KL INTERNATIONAL AIRPORT JALAN KLIA 2/1, 64000, Sepang, Selangor, EMPIRE SUSHI",SELANGOR,15/06/2028
EMPIRE SUSHI IKANO POWER CENTRE,,"(EMPIRE SUSHI SDN. BHD.), LG 1.31, LG, IKANO POWER CENTRE,, NO.2, JLN PJU 7/2, MUTIARA DAMANSARA,, PETALING JAYA, 47800, Petaling, Selangor, EMPIRE SUSHI",SELANGOR,15/04/2027
EMPIRE SUSHI IOI CITY MALL 2,,"(EMPIRE SUSHI SDN. BHD.), LOT NO. L1-K202, FIRST FLOOR, IOI CITY MALL 2, LEBUH IRC IOI RESORT CITY,, 62502, Sepang, Selangor, EMPIRE SUSHI",SELANGOR,15/03/2027
EMPIRE SUSHI IOI MALL PUCHONG,,"(EMPIRE SUSHI SDN. BHD.), LOT G-K01A, GROUN FLOOR,, IOI MALL JALAN PUCHONG, BANDAR PUCHONG JA, 47170, Petaling, Selangor, EMPIRE SUSHI",SELANGOR,15/03/2027
EMPIRE SUSHI LOTUS'S BUKIT BERUNTUNG,,"(EMPIRE SUSHI SDN. BHD.), G19 & G20,, LOTUS BUKIT BERUNTUNG, JALAN ORKID 1, PERNIAGAAN JALAN ORKID,, 48300, Hulu Selangor, Selangor, EMPIRE SUSHI",SELANGOR,29/02/2028
EMPIRE SUSHI LOTUS'S BUKIT PUCHONG,,"(EMPIRE SUSHI SDN. BHD.), LOT NO G 18,G19 DAN G20 LOTUS,, JALAN BP 7/1, BANDAR BUKIT PUCHONG, 47120, Petaling, Selangor, EMPIRE SUSHI",SELANGOR,15/12/2026
EMPIRE SUSHI LOTUS'S KAJANG,,"(EMPIRE SUSHI SDN. BHD.), LOT NO 11 GROUND FLOOR, LOTUS KAJANG,, LOT PT 37280 & 11196,, MUKIM KAJANG, SAUJANA IMPIAN,, 43000, Hulu Langat, Selangor, EMPIRE SUSHI",SELANGOR,15/08/2028
EMPIRE SUSHI LOTUS'S KAJANG,,"(EMPIRE SUSHI SDN. BHD.), LOT NO. 11 GROUND FLOOR, LOTUS KAJANG,, Lot PT 37280 & 11196,, Mukim Kajang, Saujana Impian,, 43000, Hulu Langat, Selangor, EMPIRE SUSHI",SELANGOR,15/08/2026
EMPIRE SUSHI LOTUS'S KUALA SELANGOR,,"(EMPIRE SUSHI SDN. BHD.), LOT 5 &19, (LOTUS'S KUALA SELANGOR), JALAN MEDAN NIAGA 2, MEDAN NIAGA KUALA SELANGOR, 45000, Kuala Selangor, Selangor, EMPIRE SUSHI",SELANGOR,15/06/2027
EMPIRE SUSHI LOTUS'S PUCHONG,,"(EMPIRE SUSHI SDN. BHD.), LOT 4, FIRST FLOOR,, Lotus's Puchong, Jalan Bandar Tiga, Pusat Bandar Puchong,, 47100, Petaling, Selangor, EMPIRE SUSHI",SELANGOR,15/09/2026
EMPIRE SUSHI LOTUS'S RIMBAYU,,"(EMPIRE SUSHI SDN. BHD.), LOT L-16, LOTUS STORE (MALAYSIA) SDN. BHD.,, NO.2, JALAN RIMBAYU 1, BANDAR RIMBAYU, 42500, Kuala Langat, Selangor, EMPIRE SUSHI",SELANGOR,31/12/2027
EMPIRE SUSHI LOTUS'S SEMENYIH,,"(EMPIRE SUSHI SDN. BHD.), LOT. G12 & LOT. G13, GROUND FLOOR,, Lotus's Semenyih, No.1, Jalan TPS 1/1,, Taman Pelangi Semenyih,, 43500, Hulu Langat, Selangor, EMPIRE SUSHI",SELANGOR,15/09/2026
EMPIRE SUSHI LOTUS'S SETIA ALAM,,"(EMPIRE SUSHI SDN. BHD.), NO. OL-G07, G08, G09 & G10, TINGKAT BAWAH, LOTUS'S SETIA ALAM, NO. 2, JALAN SETIA PRIMA S U13/S, 40170,  Tiada Maklumat Daerah, Selangor, EMPIRE SUSHI",SELANGOR,31/05/2028
EMPIRE SUSHI LOTUS'S SHAH ALAM,,"(EMPIRE SUSHI SDN. BHD.), LOT NO. 18, TINGKAT BAWAH, LOTUS'S SHAH ALAM,, NO. 3, JALAN AEROBIK 13/43,, SEKSYEN 13,, 40100, Petaling, Selangor, EMPIRE SUSHI",SELANGOR,15/02/2028
#422 MCDONALD'S KLIA ANJUNG,,"(GERBANG ALAF RESTAURANTS SDN BHD (FORMERLY KNOWN AS GOLDEN ARCHES RESTAURANTS SDN BHD)), MTB-5-L29, LEVEL 5,, Main Terminal Building, KLIA 1, 64000, Sepang, Selangor, McDonalds's",SELANGOR,31/01/2027
#424 MCDONALD'S AMERIN MALL,,"(GERBANG ALAF RESTAURANTS SDN BHD (FORMERLY KNOWN AS GOLDEN ARCHES RESTAURANTS SDN BHD)), LOT G-1 & G-2, AMERIN MALL,, Jalan Impian Indah,, 43300, Hulu Langat, Selangor, McDonald's",SELANGOR,31/07/2027
#426 MCDONALD'S SHELL DENGKIL DT,,"(GERBANG ALAF RESTAURANTS SDN BHD (FORMERLY KNOWN AS GOLDEN ARCHES RESTAURANTS SDN BHD)), LOT 101777, KM 48.7,, Jalan Pintasan Dengkil-Putrajaya (FT 29), Arah Utara,, 43800, Sepang, Selangor, McDonalds's",SELANGOR,31/01/2027
